Customer_id,Fullname,Gender,Date_of_birth,Address,Phone_number,Email,Customer_image,Accumulated_points,Customer_segment
TKH0010,"Phạm Quốc Công",Nam,2000-03-10,"Linh Chiểu-Thủ Đức-Hồ Chí Minh",0393732369,ChuongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,350,Đồng
TKH00130,"Bùi Văn An",Nam,1890-05-12,"Linh Chiểu-Thủ Đức-Hồ Chí Minh",0395700276,CanhBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg,400,Đồng
TKH00160,"Nguyễn Ngọc Chương",Nữ,1890-05-11,"Bình Hiên-Hải Châu-Đà Nẵng",0359778207,ChungNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg,150,Đồng
TKH00190,"Bùi Thanh Chương",Nữ,1993-02-05,"Quan Hoa-Cầu Giấy-Hà Nội",0342068031,ChungPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg,400,Đồng
TKH0020,"Nguyễn Trung Bông",Nam,2001-09-12,"Phan Chu Trinh-Hoàn Kiếm-Hà Nội",0397406930,BongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg,150,Đồng
TKH00220,"Nguyễn Quốc Chương",Nữ,2004-09-13,"Phước Long B-Thủ Đức-Hồ Chí Minh",0375897431,BinhBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg,350,Đồng
TKH00230,"Nguyễn Trung Cảnh",Nam,1890-02-13,"Quan Hoa-Cầu Giấy-Hà Nội",0365192462,ChungBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg,150,Đồng
TKH00260,"Phạm Ngọc Bình",Nam,1987-07-02,"Vĩnh Phúc-Ba Đình-Hà Nội",0325327767,ChungBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg,400,Đồng
TKH00310,"Bùi Trung An",Nữ,1966-03-19,"Linh Chiểu-Thủ Đức-Hồ Chí Minh",0314802979,CongNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg,350,Đồng
TKH00330,"Nguyễn Ngọc Chung",Nam,1998-03-02,"Phan Chu Trinh-Hoàn Kiếm-Hà Nội",0382288012,CongBui@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg,150,Đồng
