Employee_id,Fullname,Gender,Date_of_birth,Address,Native_land,Phone_number,Email,Customer_image
NV01,"Mai Trung Anh",Nữ,1890-02-10,"Phan Chu Trinh-Hoàn Kiếm-Hà Nội","Tiền Giang",0308221926,CanhMai@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
NV010,"Phan Ngọc Công",Nam,1975-02-10,"Phan Chu Trinh-Hoàn Kiếm-Hà Nội","Thanh Hóa",0382860031,ChuongNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg
NV011,"Trần Văn Công",Nam,1999-08-07,"Phước Long B-Thủ Đức-Hồ Chí Minh","Tiền Giang",0381245426,CongMai@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
NV012,"Hoàng Mỹ An",Nam,1898-11-16,"Phan Chu Trinh-Hoàn Kiếm-Hà Nội","Yên Bái",0315344413,CongMai@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV013,"Nguyễn Mỹ Chung",Nữ,1987-12-04,"Phan Chu Trinh-Hoàn Kiếm-Hà Nội","Yên Bái",0337223559,ChungHoang@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV014,"Nguyễn Thị Bình",Nam,1994-01-07,"Thọ Quang-Sơn Trà-Đà Nẵng","Lạng Sơn",0332755360,ChuongHoang@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg
NV015,"Mai Văn Bông",Nữ,1987-07-04,"Thanh Khê Tây-Thanh Khê-Đà Nẵng","Tiền Giang",0314112030,AnhPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg
NV016,"Bùi Quốc Chung",Nữ,1994-11-05,"Vĩnh Phúc-Ba Đình-Hà Nội","Lạng Sơn",0368420666,ChuongPhan@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV017,"Phan Quốc Công",Nam,1966-01-08,"Thanh Khê Tây-Thanh Khê-Đà Nẵng","Lạng Sơn",0338352123,ChuongPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg
NV018,"Phạm Quốc Chung",Nữ,1999-02-05,"Phước Long B-Thủ Đức-Hồ Chí Minh","Yên Bái",0348015572,AnhPham@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg
NV019,"Nguyễn Ngọc Công",Nữ,1890-10-05,"Quan Hoa-Cầu Giấy-Hà Nội","Quảng Nam",0396750852,CongTran@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV02,"Nguyễn Mỹ Bình",Nữ,1890-05-12,"Thọ Quang-Sơn Trà-Đà Nẵng","Tiền Giang",0305759405,ChuongNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV020,"Hoàng Văn Bình",Nữ,1991-11-12,"Thọ Quang-Sơn Trà-Đà Nẵng","Hà Nội",0308887406,CanhPhan@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-phong-xanh-450x600.jpg
NV021,"Bùi Thị An",Nữ,1957-11-07,"Quan Hoa-Cầu Giấy-Hà Nội","Yên Bái",0313107984,ChungHoang@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-phong-xanh-467x600.jpg
NV022,"Bùi Thị Công",Nam,1898-07-13,"Thảo Điền-Thủ Đức-Hồ Chí Minh","Quảng Nam",0347434592,AnMai@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
NV023,"Bùi Trung Công",Nam,1991-06-04,"Thảo Điền-Thủ Đức-Hồ Chí Minh","Hà Nội",0313957563,CongPhan@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nu-400x600.jpg
NV024,"Trần Thị Cảnh",Nam,1991-06-05,"Linh Chiểu-Thủ Đức-Hồ Chí Minh","Tiền Giang",0348743751,AnTran@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
NV025,"Mai Thanh Bình",Nam,1998-03-12,"Quan Hoa-Cầu Giấy-Hà Nội","Thanh Hóa",0319494858,AnTran@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-vest-450x600.jpg
NV026,"Phạm Văn Chương",Nữ,1979-01-12,"Quan Hoa-Cầu Giấy-Hà Nội","Yên Bái",0359102392,CanhPhan@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
NV027,"Mai Thanh Anh",Nữ,1998-03-13,"Quan Hoa-Cầu Giấy-Hà Nội","Thanh Hóa",0356193637,ChuongNguyen@gmail.com,https://toigingiuvedep.vn/wp-content/uploads/2022/11/mau-anh-the-dep-nam-mac-ao-so-mi-trang-465x600.jpg
